stage,relative_path,filename,language,line_count,inferred_purpose,main_flow,inferred_order,reads_upstream,calls_top_level_R_API,defines_local_functions,generates_figures,generates_tables,saves_objects,suspected_debug,suspected_legacy,candidate_level,validation_candidate,rationale,confidence
01,01-scrna-qc/scripts/01-cellranger.sh,01-cellranger.sh,Bash,37,run Cell Ranger count workflow,parameters/input -> quantify or QC -> inspect -> save,01,no/unclear,no,no,no/unclear,no/unclear,no/unclear,no-evidence,no-evidence,holdout,yes,reserved to test generalization,n/a
01,01-scrna-qc/scripts/02-starsolo.sh,02-starsolo.sh,Bash,86,run STARsolo count workflow,parameters/input -> quantify or QC -> inspect -> save,02,no/unclear,no,no,no/unclear,no/unclear,no/unclear,no-evidence,no-evidence,secondary,no,complementary language or boundary evidence,medium-high
01,01-scrna-qc/scripts/03-calculate_metrics.R,03-calculate_metrics.R,R,175,calculate and visualize QC metrics,parameters/input -> quantify or QC -> inspect -> save,03,yes,yes,no,yes,yes,no/unclear,interactive-check,no-evidence,primary,no,strong linear/scientific-decision evidence,high
02,02-annotation/scripts/01-HS_BM_manual_annotation.R,01-HS_BM_manual_annotation.R,R,227,manual bone-marrow annotation,load/QC -> reduce/cluster -> decide annotation -> save,01,yes,yes,no,yes,yes,yes,interactive-check,no-evidence,primary,no,strong linear/scientific-decision evidence,high
02,02-annotation/scripts/02-HS_BM_auto_annotation-part1.R,02-HS_BM_auto_annotation-part1.R,R,68,automated annotation preparation,load/QC -> reduce/cluster -> decide annotation -> save,02,yes,yes,no,yes,no/unclear,no/unclear,no-evidence,no-evidence,secondary,no,complementary language or boundary evidence,medium-high
02,02-annotation/scripts/03-HS_BM_auto_annotation-part2.R,03-HS_BM_auto_annotation-part2.R,R,173,automated annotation continuation,load/QC -> reduce/cluster -> decide annotation -> save,03,yes,yes,no,yes,yes,yes,no-evidence,no-evidence,holdout,yes,reserved to test generalization,n/a
02,02-annotation/scripts/04-HS_BM_auto_resolution.R,04-HS_BM_auto_resolution.R,R,189,compare clustering resolutions,load/QC -> reduce/cluster -> decide annotation -> save,04,yes,yes,no,yes,yes,yes,no-evidence,no-evidence,secondary,no,complementary language or boundary evidence,medium-high
02,02-annotation/scripts/05-HS_PBMC_auto_run.R,05-HS_PBMC_auto_run.R,R,190,automated PBMC annotation,load/QC -> reduce/cluster -> decide annotation -> save,05,yes,yes,no,yes,yes,yes,no-evidence,no-evidence,primary,no,strong linear/scientific-decision evidence,high
03,03-integration/scripts/01-check-batch-effect.R,01-check-batch-effect.R,R,73,inspect uncorrected batch effects,load/baseline -> integrate -> diagnose -> export,01,yes,no,no,yes,no/unclear,yes,no-evidence,no-evidence,secondary,no,complementary language or boundary evidence,medium-high
03,03-integration/scripts/02-inter-rpca.R,02-inter-rpca.R,R,65,integrate samples with RPCA,load/baseline -> integrate -> diagnose -> export,02,yes,no,no,yes,no/unclear,yes,no-evidence,no-evidence,primary,no,strong linear/scientific-decision evidence,high
03,03-integration/scripts/03-inter-harmony.R,03-inter-harmony.R,R,59,integrate samples with Harmony,load/baseline -> integrate -> diagnose -> export,03,yes,no,no,yes,no/unclear,yes,no-evidence,no-evidence,holdout,yes,reserved to test generalization,n/a
03,03-integration/scripts/04-save-data.R,04-save-data.R,R,31,export integrated data,load/baseline -> integrate -> diagnose -> export,04,yes,no,no,no/unclear,yes,no/unclear,no-evidence,no-evidence,secondary,no,complementary language or boundary evidence,medium-high
04,04-grn/scripts/01-metacell.R,01-metacell.R,R,324,construct and inspect metacells,prepare -> call tool/API -> inspect regulons -> output,01,yes,no,yes,yes,yes,yes,no-evidence,no-evidence,primary,no,strong linear/scientific-decision evidence,high
04,04-grn/scripts/02-regulon2gmt.py,02-regulon2gmt.py,Python,42,convert regulons to GMT,prepare -> call tool/API -> inspect regulons -> output,02,no/unclear,no,yes,no/unclear,no/unclear,no/unclear,no-evidence,no-evidence,secondary,no,complementary language or boundary evidence,medium-high
04,04-grn/scripts/02-regulon_activity_score.R,02-regulon_activity_score.R,R,85,define regulon activity scoring API,prepare -> call tool/API -> inspect regulons -> output,02,yes,no,yes,no/unclear,no/unclear,yes,no-evidence,no-evidence,counterexample,no,API-like; may overrepresent engineering,medium
04,04-grn/scripts/02-run_pyscenic.sh,02-run_pyscenic.sh,Bash,53,run pySCENIC workflow,prepare -> call tool/API -> inspect regulons -> output,02,no/unclear,no,no,no/unclear,no/unclear,no/unclear,no-evidence,no-evidence,secondary,no,complementary language or boundary evidence,medium-high
04,04-grn/scripts/03-unsupervised_partI.R,03-unsupervised_partI.R,R,252,unsupervised regulon analysis part I,prepare -> call tool/API -> inspect regulons -> output,03,yes,no,yes,yes,yes,no/unclear,no-evidence,no-evidence,primary,no,strong linear/scientific-decision evidence,high
04,04-grn/scripts/03-unsupervised_partII.R,03-unsupervised_partII.R,R,118,unsupervised regulon analysis part II,prepare -> call tool/API -> inspect regulons -> output,03,yes,yes,no,yes,yes,no/unclear,no-evidence,no-evidence,secondary,no,complementary language or boundary evidence,medium-high
04,04-grn/scripts/04-hypothesis_driven_partI.R,04-hypothesis_driven_partI.R,R,342,hypothesis-driven GRN analysis part I,prepare -> call tool/API -> inspect regulons -> output,04,yes,yes,yes,yes,no/unclear,no/unclear,no-evidence,no-evidence,secondary,no,complementary language or boundary evidence,medium-high
04,04-grn/scripts/04-hypothesis_driven_partII.R,04-hypothesis_driven_partII.R,R,165,hypothesis-driven GRN analysis part II,prepare -> call tool/API -> inspect regulons -> output,04,yes,yes,no,yes,yes,yes,no-evidence,no-evidence,special-status-unclassified,no,user-confirmed special role not documented in README,uncertain
04,04-grn/scripts/04-hypothesis_driven_partIII.R,04-hypothesis_driven_partIII.R,R,221,hypothesis-driven GRN analysis part III,prepare -> call tool/API -> inspect regulons -> output,04,yes,yes,no,yes,no/unclear,no/unclear,no-evidence,no-evidence,primary,no,strong linear/scientific-decision evidence,high
04,04-grn/scripts/04-hypothesis_driven_partIV.R,04-hypothesis_driven_partIV.R,R,217,hypothesis-driven GRN analysis part IV,prepare -> call tool/API -> inspect regulons -> output,04,yes,yes,no,yes,yes,no/unclear,no-evidence,no-evidence,holdout,yes,reserved to test generalization,n/a
04,04-grn/scripts/05-cell_type_specific_regulon.R,05-cell_type_specific_regulon.R,R,66,analyze cell-type-specific regulons,prepare -> call tool/API -> inspect regulons -> output,05,yes,yes,no,yes,no/unclear,no/unclear,no-evidence,no-evidence,secondary,no,complementary language or boundary evidence,medium-high
04,04-grn/scripts/06-screen_TFs_for_given_target.R,06-screen_TFs_for_given_target.R,R,222,screen TFs for target genes,prepare -> call tool/API -> inspect regulons -> output,06,yes,yes,yes,no/unclear,yes,yes,interactive-check,no-evidence,special-status-unclassified,no,user-confirmed special role not documented in README,uncertain
05,05-from-pathway-to-program/scripts/02-interpret_cNMF_results_part1.R,02-interpret_cNMF_results_part1.R,R,106,interpret cNMF activities and variance,load programs -> score/enrich -> visualize -> output,02,yes,yes,no,yes,no/unclear,no/unclear,no-evidence,no-evidence,primary,no,strong linear/scientific-decision evidence,high
05,05-from-pathway-to-program/scripts/02-interpret_cNMF_results_part2.R,02-interpret_cNMF_results_part2.R,R,45,interpret cNMF top genes,load programs -> score/enrich -> visualize -> output,02,yes,no,yes,yes,no/unclear,no/unclear,interactive-check,no-evidence,secondary,no,complementary language or boundary evidence,medium-high
05,05-from-pathway-to-program/scripts/03-pathway_activity.R,03-pathway_activity.R,R,114,score and compare pathway activity,load programs -> score/enrich -> visualize -> output,03,yes,no,no,yes,no/unclear,yes,no-evidence,no-evidence,primary,no,strong linear/scientific-decision evidence,high
05,05-from-pathway-to-program/scripts/04-metabolisum_activity.R,04-metabolisum_activity.R,R,84,score and compare metabolism activity,load programs -> score/enrich -> visualize -> output,04,yes,no,no,yes,no/unclear,no/unclear,no-evidence,no-evidence,holdout,yes,reserved to test generalization,n/a
06,06-lr-pairs/scripts/01-data-summary.R,01-data-summary.R,R,56,summarize LR input data,prepare -> CellChat/compare -> focus/visualize -> output,01,yes,no,no,yes,no/unclear,yes,no-evidence,no-evidence,secondary,no,complementary language or boundary evidence,medium-high
06,06-lr-pairs/scripts/02-epithelial-prepare.R,02-epithelial-prepare.R,R,67,prepare epithelial CellChat input,prepare -> CellChat/compare -> focus/visualize -> output,02,yes,no,no,yes,yes,yes,no-evidence,no-evidence,secondary,no,complementary language or boundary evidence,medium-high
06,06-lr-pairs/scripts/03-cellchat-standard.R,03-cellchat-standard.R,R,118,run standard CellChat per sample,prepare -> CellChat/compare -> focus/visualize -> output,03,yes,no,yes,no/unclear,yes,yes,no-evidence,no-evidence,primary,no,strong linear/scientific-decision evidence,high
06,06-lr-pairs/scripts/04-cellchat-visualize.R,04-cellchat-visualize.R,R,93,visualize CellChat networks,prepare -> CellChat/compare -> focus/visualize -> output,04,yes,no,no,yes,yes,no/unclear,no-evidence,no-evidence,secondary,no,complementary language or boundary evidence,medium-high
